Study_ID,Product_Name,Batch_ID,Time_Point_Month,Test_Date,Study_Type,Storage_Temperature,Storage_Humidity,Packaging_Type,Potency_%,Impurity_%,Moisture_%,Dissolution_%,Potency_Lower,Potency_Upper,Impurity_Upper,Dissolution_Lower
ST-001,Para-500,B2024-119,0,2023-11-27,Long-term,25.0,60.0,Bottle,100.8,0.193,2.4,97.6,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,3,2024-02-25,Long-term,25.0,60.0,Bottle,100.55,0.25,1.3,94.7,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,6,2024-05-25,Long-term,25.0,60.0,Bottle,100.06,0.319,2.97,90.3,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,9,2024-08-23,Long-term,25.0,60.0,Bottle,99.83,0.343,1.4,94.0,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,12,2024-11-21,Long-term,25.0,60.0,Bottle,99.32,0.411,2.07,90.1,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,18,2025-05-20,Long-term,25.0,60.0,Bottle,98.45,0.535,2.12,95.2,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,24,2025-11-16,Long-term,25.0,60.0,Bottle,97.84,0.635,1.4,96.2,95.0,105.0,1.0,80.0
ST-001,Para-500,B2024-119,36,2026-11-11,Long-term,25.0,60.0,Bottle,96.36,0.886,2.25,90.8,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,0,2024-08-19,Long-term,25.0,60.0,Bottle,100.64,0.056,1.49,91.1,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,3,2024-11-17,Long-term,25.0,60.0,Bottle,100.34,0.084,1.16,90.9,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,6,2025-02-15,Long-term,25.0,60.0,Bottle,99.77,0.125,1.7,99.2,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,9,2025-05-16,Long-term,25.0,60.0,Bottle,99.29,0.174,1.21,94.0,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,12,2025-08-14,Long-term,25.0,60.0,Bottle,99.03,0.192,1.1,99.9,95.0,105.0,1.0,80.0
ST-002,Amoxy-250,B2025-213,18,2026-02-10,Long-term,25.0,60.0,Bottle,98.1,0.243,1.24,97.1,95.0,105.0,1.0,80.0
